Gene ID,Gene Name,Lung_FoldChange,Lung_pValue
ENSG00000006740,ARHGAP44,-1.2,0.0024204792013076
ENSG00000006744,ELAC2,0.1,0.933726230325497
ENSG00000006747,SCIN,-1.1,0.105787845141706
ENSG00000006756,ARSD,-0.8,0.100331915072339
ENSG00000006757,PNPLA4,-0.8,0.289103065035744
ENSG00000006788,MYH13,,
ENSG00000006831,ADIPOR2,0.7,0.0485261912973428
ENSG00000006837,CDKL3,-0.1,0.912072546150177
ENSG00000007001,UPP2,-1.9,0.0390441152357952
ENSG00000007038,PRSS21,-2.2,0.0552891277920089
ENSG00000007047,MARK4,0.1,0.918675129632954
ENSG00000007062,PROM1,0.6,0.578942622316403
ENSG00000007080,CCDC124,0.1,0.925321795237079
ENSG00000007129,CEACAM21,-0.9,0.371878313247127
ENSG00000007168,PAFAH1B1,-0.1,0.750040144436248
ENSG00000007171,NOS2,-0.6,0.701801063380285
ENSG00000007174,DNAH9,-0.5,0.689532787179836
ENSG00000007202,KIAA0100,0.1,0.788350818110747
ENSG00000007216,SLC13A2,,
ENSG00000007237,GAS7,0.1,0.875914671151752
ENSG00000007255,TRAPPC6A,-2.0,0.0699674936685445
ENSG00000007264,MATK,-0.1,0.94668733010317
ENSG00000007306,CEACAM7,0.3,0.859401400738575
ENSG00000007312,CD79B,,
ENSG00000007314,SCN4A,,
ENSG00000007341,ST7L,0.2,0.673505591049701
ENSG00000007350,TKTL1,0.1,0.966278615756118
ENSG00000007372,PAX6,0.2,0.920194722223337
ENSG00000007376,RPUSD1,1.3,0.175098535792455
ENSG00000007384,RHBDF1,-0.4,0.603506983336255
ENSG00000007392,LUC7L,0.2,0.696183432286069
ENSG00000007402,CACNA2D2,-3.3,2.18148147401875e-08
ENSG00000007516,BAIAP3,-0.7,0.560254002087875
ENSG00000007520,TSR3,1.4,0.167644951374193
ENSG00000007541,PIGQ,0.1,0.916616209627719
ENSG00000007545,CRAMP1,-0.7,0.3666508855155
ENSG00000007866,TEAD3,0.5,0.574799224750784
ENSG00000007908,SELE,0.2,0.851813637534226
ENSG00000007923,DNAJC11,-0.1,0.887892056259647
ENSG00000007933,FMO3,-1.2,0.0267643075213343
ENSG00000007944,MYLIP,-0.5,0.3460712778529
ENSG00000007952,NOX1,0.8,0.519004339767435
ENSG00000007968,E2F2,2.8,0.0248042938453593
ENSG00000008018,PSMB1,0.3,0.58692707148079
ENSG00000008056,SYN1,2.0,0.0046787686912173
ENSG00000008083,JARID2,0.2,0.825509449866953
ENSG00000008086,CDKL5,-0.6,0.0159694952731278
ENSG00000008118,CAMK1G,-2.5,0.0173752738511193
ENSG00000008128,CDK11A,-1.5,0.10632041942892
ENSG00000008130,NADK,0.2,0.710010689776598
ENSG00000008196,TFAP2B,,
ENSG00000008226,DLEC1,-0.1,0.943349788939823
ENSG00000008256,CYTH3,-0.3,0.631620442690807
ENSG00000008277,ADAM22,-0.4,0.585945726165622
ENSG00000008282,SYPL1,0.6,0.0303663470108272
ENSG00000008283,CYB561,-1.2,0.0459121376113771
ENSG00000008294,SPAG9,0.2,0.522706564452333
ENSG00000008300,CELSR3,0.1,0.957699696944487
ENSG00000008311,AASS,-1.0,0.0153779577013237
ENSG00000008323,PLEKHG6,-3.9,4.50293596464681e-07
ENSG00000008324,SS18L2,0.8,0.388760362863105
ENSG00000008382,MPND,-0.2,0.843101994625625
ENSG00000008394,MGST1,1.4,0.0025560482189839
ENSG00000008405,CRY1,-0.1,0.896172591156956
ENSG00000008438,PGLYRP1,2.5,0.0215200834628937
ENSG00000008441,NFIX,-0.6,0.0320177820429867
ENSG00000008513,ST3GAL1,-0.4,0.237145735866927
ENSG00000008516,MMP25,1.6,0.132067960454037
ENSG00000008517,IL32,0.4,0.588986904930994
ENSG00000008710,PKD1,-0.7,0.355727990346096
ENSG00000008735,MAPK8IP2,-1.0,0.527436905539798
ENSG00000008838,MED24,-0.3,0.716925012254788
ENSG00000008853,RHOBTB2,-0.5,0.373842455546723
ENSG00000008869,HEATR5B,,
ENSG00000008952,SEC62,0.2,0.483572388598584
ENSG00000008988,RPS20,0.4,0.0537680573977201
ENSG00000009307,CSDE1,0.4,0.0157873914020945
ENSG00000009335,UBE3C,0.5,0.0101354918388289
ENSG00000009413,REV3L,-0.2,0.661023011145485
ENSG00000009694,TENM1,-1.2,0.0149450299060979
ENSG00000009724,MASP2,-1.5,0.0069418289640072
ENSG00000009765,IYD,-0.5,0.689705357442218
ENSG00000009780,FAM76A,0.5,0.34730869531199
ENSG00000009790,TRAF3IP3,0.1,0.921683874028126
ENSG00000009830,POMT2,-0.1,0.878523533633219
ENSG00000009844,VTA1,0.8,0.0106114944988142
ENSG00000009950,MLXIPL,-1.8,0.092331955696139
ENSG00000009954,BAZ1B,-0.1,0.579568952062152
ENSG00000010017,RANBP9,0.5,0.0981028417996969
ENSG00000010030,ETV7,1.0,0.175635016076306
ENSG00000010072,SPRTN,-0.4,0.301320651170988
ENSG00000010165,EEF1AKNMT,-0.7,0.345114358623586
ENSG00000010219,DYRK4,-0.2,0.81506914944101
ENSG00000010244,ZNF207,0.3,0.116023639776429
ENSG00000010256,UQCRC1,0.6,0.183272183911005
ENSG00000010270,STARD3NL,0.9,0.0405603476939209
ENSG00000010278,CD9,0.3,0.25012515180435
ENSG00000010282,HHATL,-1.4,0.369483057108872
ENSG00000010292,NCAPD2,-0.1,0.807990868120311
ENSG00000010295,IFFO1,-0.8,0.186796108430601
ENSG00000010310,GIPR,-1.5,0.0102952501086397
ENSG00000010318,PHF7,-0.2,0.886304162683914
ENSG00000010319,SEMA3G,-0.2,0.885076355222589
ENSG00000010322,NISCH,-0.8,0.0345888883249386
ENSG00000010327,STAB1,0.5,0.485273375117919
ENSG00000010361,FUZ,-1.2,0.159292535895602
ENSG00000010379,SLC6A13,-3.0,0.0174572661264918
ENSG00000010404,IDS,-0.2,0.563177906792942
ENSG00000010438,PRSS3,,
ENSG00000010539,ZNF200,-0.5,0.256670015965688
ENSG00000010610,CD4,-0.6,0.38935110007416
ENSG00000010626,LRRC23,0.6,0.635803211282075
ENSG00000010671,BTK,-0.1,0.844650706948856
ENSG00000010704,HFE,0.2,0.79878394110579
ENSG00000010803,SCMH1,-0.6,0.422240514780189
ENSG00000010810,FYN,0.2,0.778232301672123
ENSG00000010818,HIVEP2,-0.2,0.638120179479527
ENSG00000010932,FMO1,-0.2,0.920662328243341
ENSG00000011007,ELOA,-0.1,0.804154405229888
ENSG00000011009,LYPLA2,1.0,0.0139818194077615
ENSG00000011021,CLCN6,,
ENSG00000011028,MRC2,0.2,0.736866912000144
ENSG00000011083,SLC6A7,,
ENSG00000011105,TSPAN9,-0.4,0.333150870087546
ENSG00000011114,BTBD7,-0.3,0.200211694602922
ENSG00000011132,APBA3,0.8,0.36297806975248
ENSG00000011143,MKS1,-1.7,0.011029279986693
ENSG00000011198,ABHD5,-0.1,0.931141375409329
ENSG00000011201,ANOS1,-2.6,5.68698392971192e-06
ENSG00000011243,AKAP8L,-0.6,0.385654211195156
ENSG00000011258,MBTD1,-0.2,0.492224288612892
ENSG00000011260,UTP18,0.1,0.928435879829262
ENSG00000011275,RNF216,-0.2,0.59521040291207
ENSG00000011295,TTC19,-0.3,0.257930026745479
ENSG00000011304,PTBP1,0.3,0.474598351320201
ENSG00000011332,DPF1,-2.4,0.0117371073935012
ENSG00000011347,SYT7,-1.3,0.177596917590241
ENSG00000011376,LARS2,-0.2,0.803971075428144
ENSG00000011405,PIK3C2A,0.2,0.329670656960472
ENSG00000011422,PLAUR,1.4,0.0091023935758578
ENSG00000011426,ANLN,2.9,3.41932897023197e-06
ENSG00000011451,WIZ,0.1,0.774562606273963
ENSG00000011454,RABGAP1,-0.2,0.398961626457996
ENSG00000011465,DCN,0.2,0.676658995179656
ENSG00000011478,QPCTL,0.1,0.958385855989547
ENSG00000011485,PPP5C,-0.4,0.548023332081195
ENSG00000011523,CEP68,-0.7,0.0893759068188204
ENSG00000011566,MAP4K3,,
ENSG00000011590,ZBTB32,-1.3,0.256368888327927
ENSG00000011600,TYROBP,,
ENSG00000011638,TMEM159,0.3,0.777755106627345
ENSG00000011677,GABRA3,,
ENSG00000012048,BRCA1,0.5,0.283957732631457
ENSG00000012061,ERCC1,-0.3,0.743747001586914
ENSG00000012124,CD22,-2.5,0.000345103917165801
ENSG00000012171,SEMA3B,-2.0,0.000287708567688753
ENSG00000012174,MBTPS2,0.1,0.729584419243211
ENSG00000012211,PRICKLE3,-0.5,0.736790374240158
ENSG00000012223,LTF,3.2,0.000136095928789062
ENSG00000012232,EXTL3,,
ENSG00000012504,NR1H4,-3.1,0.0102928038829227
ENSG00000012660,ELOVL5,1.0,4.76267272845952e-06
ENSG00000012779,ALOX5,,
ENSG00000012817,KDM5D,0.1,0.964964001042729
ENSG00000012822,CALCOCO1,-0.8,0.0748840002053572
ENSG00000012963,UBR7,0.5,0.354593692022848
ENSG00000012983,MAP4K5,0.7,0.0598792303119551
ENSG00000013016,EHD3,-0.7,0.403356376829874
ENSG00000013275,PSMC4,0.3,0.707255795294861
ENSG00000013288,MAN2B2,-0.3,0.526702645498834
ENSG00000013293,SLC7A14,-1.0,0.241375964997748
ENSG00000013297,CLDN11,0.4,0.677212399933094
ENSG00000013306,SLC25A39,0.7,0.168514897484519
ENSG00000013364,MVP,0.2,0.66513139742823
ENSG00000013374,NUB1,0.2,0.755085682599546
ENSG00000013375,PGM3,0.3,0.206918485089453
ENSG00000013392,RWDD2A,0.9,0.157104997905252
ENSG00000013441,CLK1,0.8,0.0013956788403463
ENSG00000013503,POLR3B,0.2,0.774605977509799
ENSG00000013523,ANGEL1,-0.6,0.134959473964256
ENSG00000013561,RNF14,0.1,0.768741235785525
ENSG00000013563,DNASE1L1,-0.5,0.624000765208719
ENSG00000013573,DDX11,-0.9,0.303464465971948
ENSG00000013583,HEBP1,-0.5,0.331312881385596
ENSG00000013588,GPRC5A,-1.7,2.52996649272268e-06
ENSG00000013619,MAMLD1,-0.9,0.153241361841107
ENSG00000013725,CD6,-0.9,0.331258154206393
ENSG00000013810,TACC3,0.3,0.736387011098709
ENSG00000014123,UFL1,0.3,0.305732223709074
ENSG00000014138,POLA2,0.2,0.776024094639647
ENSG00000014164,ZC3H3,-0.1,0.953069369395744
ENSG00000014216,CAPN1,0.9,0.159880137601443
ENSG00000014257,ACP3,-0.1,0.902333177798024
ENSG00000014641,MDH1,0.6,0.0617833689034348
ENSG00000014824,SLC30A9,,
ENSG00000014914,MTMR11,-0.7,0.352698115068917
ENSG00000014919,COX15,0.1,0.836481822161181
ENSG00000015133,CCDC88C,,
ENSG00000015153,YAF2,0.3,0.0926416829945175
ENSG00000015171,ZMYND11,0.2,0.66270024441708
ENSG00000015285,WAS,0.5,0.542786715460385
ENSG00000015413,DPEP1,-1.7,0.216171788580111
ENSG00000015475,BID,1.4,0.000116500146238228
ENSG00000015479,MATR3,1.0,0.0082976830877901
ENSG00000015520,NPC1L1,-0.4,0.843293649898146
ENSG00000015532,XYLT2,-1.5,0.0142845680184299
ENSG00000015568,RGPD5,-0.5,0.540417551295568
ENSG00000015592,STMN4,,
ENSG00000015676,NUDCD3,-0.7,0.0865625166613509
ENSG00000016082,ISL1,,
ENSG00000016391,CHDH,-0.5,0.623570517790776
ENSG00000016402,IL20RA,-0.6,0.581470526694559
ENSG00000016490,CLCA1,2.1,0.146671548184798
ENSG00000016602,CLCA4,1.5,0.191955011324726
ENSG00000016864,GLT8D1,0.3,0.351353159405814
ENSG00000017260,ATP2C1,0.2,0.598023462572965
ENSG00000017427,IGF1,1.9,0.0063841873870635
ENSG00000017483,SLC38A5,,
ENSG00000017797,RALBP1,0.3,0.342545730401372
ENSG00000018189,RUFY3,-0.3,0.147619628770022
ENSG00000018236,CNTN1,-0.8,0.268862414721702
ENSG00000018280,SLC11A1,1.3,0.0377393859304551
ENSG00000018408,WWTR1,0.3,0.342480204170872
ENSG00000018510,AGPS,-0.2,0.673555992582105
ENSG00000018610,STEEP1,-0.4,0.486561924092177
ENSG00000018625,ATP1A2,-1.1,0.0947321512700744
ENSG00000018699,TTC27,0.3,0.54571210130753
ENSG00000018869,ZNF582,-0.3,0.77372969546432
ENSG00000019102,VSIG2,-1.6,0.0370649062591346
ENSG00000019144,PHLDB1,-0.7,0.104468654853711
ENSG00000019169,MARCO,0.6,0.505838810808685
ENSG00000019186,CYP24A1,3.8,1.17670258320502e-05
ENSG00000019485,PRDM11,-2.2,3.43470809450192e-08
ENSG00000019505,SYT13,0.6,0.716520221791903
ENSG00000019549,SNAI2,1.0,0.0433488103981543
ENSG00000019582,CD74,-0.8,0.0474846838464036
ENSG00000019991,HGF,0.6,0.154834354608728
ENSG00000019995,ZRANB1,0.4,0.564411254585466
ENSG00000020129,NCDN,0.5,0.574198241131861
ENSG00000020181,ADGRA2,-1.1,0.0812084262032811
ENSG00000020256,ZFP64,-0.2,0.740219056278621
ENSG00000020426,MNAT1,0.5,0.157128164138575
ENSG00000020577,SAMD4A,-0.2,0.759073080121331
ENSG00000020633,RUNX3,0.2,0.837553408757056
ENSG00000020922,MRE11,0.4,0.308925290824974
ENSG00000021300,PLEKHB1,-0.5,0.618314151719298
ENSG00000021355,SERPINB1,-0.3,0.539385566829687
ENSG00000021461,CYP3A43,-0.8,0.552845876607784
ENSG00000021488,SLC7A9,-0.7,0.691746477173548
ENSG00000021574,SPAST,0.8,0.0489159993537613
ENSG00000021645,NRXN3,-0.9,0.222419057532829
ENSG00000021762,OSBPL5,0.1,0.932065952077368
ENSG00000021776,AQR,-0.1,0.787904336166494
ENSG00000021826,CPS1,0.2,0.815066997200684
ENSG00000021852,C8B,-4.7,6.083813683204741e-09
ENSG00000022267,FHL1,-1.3,0.0027034009157476
ENSG00000022277,RTF2,0.6,0.0740434826915077
ENSG00000022355,GABRA1,,
ENSG00000022556,NLRP2,0.2,0.866744435850934
ENSG00000022567,SLC45A4,,
ENSG00000022840,RNF10,0.3,0.669373174291152
ENSG00000022976,ZNF839,-1.0,0.264863641567768
ENSG00000023041,ZDHHC6,0.2,0.571347758419041
ENSG00000023171,GRAMD1B,0.1,0.956282244908929
ENSG00000023191,RNH1,-0.1,0.793274549431654
ENSG00000023228,NDUFS1,0.6,0.120314647199016
ENSG00000023287,RB1CC1,0.4,0.202792840345716
ENSG00000023318,ERP44,0.3,0.406000641000837
ENSG00000023330,ALAS1,0.2,0.717760887504955
ENSG00000023445,BIRC3,0.8,0.12038601204693
ENSG00000023516,AKAP11,-0.3,0.276678363956259
ENSG00000023572,GLRX2,-0.2,0.626041508569773
ENSG00000023608,SNAPC1,1.7,2.34480792885044e-05
ENSG00000023697,DERA,0.4,0.383609978058264
ENSG00000023734,STRAP,1.1,0.000774591377640839
ENSG00000023839,ABCC2,1.6,0.0461541788668249
ENSG00000023892,DEF6,-0.5,0.673877818722712
ENSG00000023902,PLEKHO1,0.7,0.145944089215398
ENSG00000023909,GCLM,1.4,0.0012837894821155
ENSG00000024048,UBR2,-0.1,0.856483330015587
ENSG00000024422,EHD2,-0.2,0.595336264125282
ENSG00000024526,DEPDC1,2.1,0.0162241283036137
ENSG00000024862,CCDC28A,-0.6,0.500975408360432
ENSG00000025039,RRAGD,0.3,0.664093919031422
ENSG00000025156,HSF2,0.1,0.78503683485116
ENSG00000025293,PHF20,-0.1,0.76182038776817
ENSG00000025423,HSD17B6,-2.5,0.00016181423385011
ENSG00000025434,NR1H3,0.7,0.300060838840061
ENSG00000025708,TYMP,-0.2,0.825632068443309
ENSG00000025770,NCAPH2,-1.0,0.295330403227016
ENSG00000025772,TOMM34,0.5,0.224020504453342
ENSG00000025796,SEC63,0.5,0.008681136245771
ENSG00000025800,KPNA6,-0.4,0.23302327487656
ENSG00000026025,VIM,0.5,0.0271563929729216
ENSG00000026036,RTEL1-TNFRSF6B,-1.9,0.116588507747255
ENSG00000026103,FAS,0.5,0.129276469321103
ENSG00000026297,RNASET2,0.5,0.136028366484899
ENSG00000026508,CD44,0.4,0.164233332489694
ENSG00000026559,KCNG1,,
ENSG00000026652,AGPAT4,-0.7,0.131239893308506
ENSG00000026751,SLAMF7,0.1,0.897143790262619
ENSG00000026950,BTN3A1,-0.9,0.000120697549395768
ENSG00000027001,MIPEP,-0.3,0.684752115588716
ENSG00000027075,PRKCH,-0.4,0.359004885687947
ENSG00000027644,INSRR,1.5,0.34730869531199
ENSG00000027697,IFNGR1,0.4,0.367329448544419
ENSG00000027847,B4GALT7,-0.7,0.432530978888338
ENSG00000027869,SH2D2A,-0.5,0.660674677351489
ENSG00000028116,VRK2,0.5,0.140465703671833
ENSG00000028137,TNFRSF1B,0.8,0.141642944176865
ENSG00000028203,VEZT,-0.4,0.23941852223657
ENSG00000028277,POU2F2,0.6,0.463501967015472
ENSG00000028310,BRD9,-0.2,0.765927048514804
ENSG00000028528,SNX1,-0.5,0.0309351311554249
ENSG00000028839,TBPL1,-0.1,0.920217688855247
ENSG00000029153,ARNTL2,2.6,1.69099369529526e-05
ENSG00000029363,BCLAF1,-0.1,0.658222377511417
ENSG00000029364,SLC39A9,0.5,0.11513993431346
ENSG00000029534,ANK1,0.5,0.669702298987241
ENSG00000029559,IBSP,3.4,0.0076034225913173
ENSG00000029639,TFB1M,0.2,0.815485117242621
ENSG00000029725,RABEP1,0.3,0.450685568117578
ENSG00000029993,HMGB3,0.7,0.228212416075213
ENSG00000030066,NUP160,0.2,0.498655007408991
ENSG00000030110,BAK1,-0.6,0.522790688802945
ENSG00000030304,MUSK,-0.8,0.127067760880735
ENSG00000030419,IKZF2,-0.1,0.854640999219035
ENSG00000030582,GRN,-0.2,0.736401587338744
ENSG00000031003,FAM13B,-0.6,0.0248960973097729
ENSG00000031081,ARHGAP31,-0.6,0.0607100160789905
ENSG00000031691,CENPQ,-0.2,0.836269954554177
ENSG00000031698,SARS1,0.5,0.481400896738863
ENSG00000031823,RANBP3,-0.9,0.0043228710364977
ENSG00000032219,ARID4A,-0.2,0.339946585447272
ENSG00000032389,EIPR1,0.5,0.44226748076391
ENSG00000032444,PNPLA6,,
ENSG00000032742,IFT88,-0.3,0.592926198936889
ENSG00000033011,ALG1,0.8,0.293264545299354
ENSG00000033030,ZCCHC8,0.3,0.413396215822675
ENSG00000033050,ABCF2,1.3,0.0738000685417693
ENSG00000033100,CHPF2,-0.3,0.670600357823537
ENSG00000033122,LRRC7,-0.8,0.139279484212113
ENSG00000033170,FUT8,0.5,0.179571756199962
ENSG00000033178,UBA6,0.6,0.025745069428056
ENSG00000033327,GAB2,-0.7,0.0740838658322867
ENSG00000033627,ATP6V0A1,0.1,0.885697614364974
ENSG00000033800,PIAS1,-0.2,0.452893985721796
ENSG00000033867,SLC4A7,1.1,0.0011751705302438
ENSG00000034053,APBA2,0.6,0.524777359678453
ENSG00000034152,MAP2K3,1.4,0.0094690551446074
ENSG00000034239,EFCAB1,-0.4,0.721045868095004
ENSG00000034510,TMSB10,1.0,0.000988606916562305
ENSG00000034533,ASTE1,-0.9,0.0753739315078688
ENSG00000034677,RNF19A,-0.2,0.529259528152641
ENSG00000034693,PEX3,-0.4,0.452893985721796
ENSG00000034713,GABARAPL2,0.4,0.0882563309060863
ENSG00000034971,MYOC,-1.0,0.430819210547791
ENSG00000035115,SH3YL1,-0.3,0.515720708624564
ENSG00000035141,FAM136A,0.5,0.466390632161988
ENSG00000035403,VCL,-0.2,0.574198241131861
ENSG00000035499,DEPDC1B,0.1,0.951149623943472
ENSG00000035664,DAPK2,-2.3,8.34499086764018e-12
ENSG00000035681,NSMAF,0.2,0.624510930841865
ENSG00000035687,ADSS2,0.8,0.0015481803764484
