# Expression Atlas
# Query: Genes matching: 'default query', specifically up/down differentially expressed in 2 comparisons  given the adjusted p-value cutoff 1 and log2-fold change cutoff 0 in experiment E-ENAD-46
# Timestamp: Wed, 22-May-2024 15:40:47
Gene ID	Gene Name	'COVID-19' vs 'normal' in 'colon' .foldChange	'COVID-19' vs 'normal' in 'colon'.pValue	'COVID-19' vs 'normal' in 'lung' .foldChange	'COVID-19' vs 'normal' in 'lung'.pValue
ENSG00000008394	MGST1	0.5	0.408948081035042	1.4	0.00255604821898393
ENSG00000008405	CRY1	1.0	0.00952080907259166	-0.1	0.896172591156956
ENSG00000008438	PGLYRP1			2.5	0.0215200834628937
ENSG00000008441	NFIX	-0.2	0.72209365799098	-0.6	0.0320177820429867
ENSG00000008513	ST3GAL1	0.1	0.81144777488695	-0.4	0.237145735866927
ENSG00000008516	MMP25	-2.7	4.05860555718147E-4	1.6	0.132067960454037
ENSG00000008517	IL32	-1.0	0.132188009222776	0.4	0.588986904930994
ENSG00000008710	PKD1	-0.1	0.899321815561404	-0.7	0.355727990346096
ENSG00000008735	MAPK8IP2	-0.5	0.619776389255377	-1.0	0.527436905539798
ENSG00000008838	MED24	-0.5	0.27659332831274	-0.3	0.716925012254788
ENSG00000008853	RHOBTB2	-0.9	0.243133252441388	-0.5	0.373842455546723
ENSG00000008869	HEATR5B	-0.7	0.00125588876131467		
ENSG00000008952	SEC62	0.9	6.37505535285637E-7	0.2	0.483572388598584
ENSG00000008988	RPS20	0.9	1.76133474746191E-5	0.4	0.0537680573977201
ENSG00000009307	CSDE1	0.8	1.71231800212124E-4	0.4	0.0157873914020945
ENSG00000009335	UBE3C	1.3	0.0107026894038186	0.5	0.0101354918388289
ENSG00000009413	REV3L	0.4	0.138105826061211	-0.2	0.661023011145485
ENSG00000009694	TENM1	-0.2	0.784127038823798	-1.2	0.0149450299060979
ENSG00000009724	MASP2	-1.1	0.0221238784870837	-1.5	0.00694182896400724
ENSG00000009765	IYD	-1.7	0.0682856032543341	-0.5	0.689705357442218
ENSG00000009780	FAM76A	0.6	0.11414375300346	0.5	0.34730869531199
ENSG00000009790	TRAF3IP3	-1.1	0.203449925121717	0.1	0.921683874028126
ENSG00000009830	POMT2	0.4	0.597916143014489	-0.1	0.878523533633219
ENSG00000009844	VTA1	0.9	0.0262901057659839	0.8	0.0106114944988142
ENSG00000009950	MLXIPL	-0.8	0.361294919469977	-1.8	0.092331955696139
ENSG00000009954	BAZ1B	0.2	0.595224796001721	-0.1	0.579568952062152
ENSG00000010017	RANBP9	0.9	6.34181554533466E-5	0.5	0.0981028417996969
ENSG00000010030	ETV7	-0.3	0.745890942313964	1.0	0.175635016076306
ENSG00000010072	SPRTN	0.5	0.260806764889709	-0.4	0.301320651170988
ENSG00000010165	EEF1AKNMT	-0.3	0.702049898114326	-0.7	0.345114358623586
ENSG00000010219	DYRK4	0.5	0.239328184809378	-0.2	0.81506914944101
ENSG00000010244	ZNF207			0.3	0.116023639776429
ENSG00000010256	UQCRC1	-0.4	0.368917978966028	0.6	0.183272183911005
ENSG00000010270	STARD3NL	0.5	0.195127451921842	0.9	0.0405603476939209
ENSG00000010278	CD9	0.4	0.345718784016959	0.3	0.25012515180435
ENSG00000010282	HHATL			-1.4	0.369483057108872
ENSG00000010292	NCAPD2	-1.0	2.10148091609949E-4	-0.1	0.807990868120311
ENSG00000010295	IFFO1	-1.2	0.0519634976417131	-0.8	0.186796108430601
ENSG00000010310	GIPR	-2.3	6.07009698851675E-4	-1.5	0.0102952501086397
ENSG00000010318	PHF7	-0.9	0.0533173714152233	-0.2	0.886304162683914
ENSG00000010319	SEMA3G	0.8	0.340745759179726	-0.2	0.885076355222589
ENSG00000010322	NISCH	-1.1	0.0307774059212745	-0.8	0.0345888883249386
ENSG00000010327	STAB1	0.6	0.430467339836638	0.5	0.485273375117919
ENSG00000010361	FUZ	-0.8	0.411223076213374	-1.2	0.159292535895602
ENSG00000010379	SLC6A13			-3.0	0.0174572661264918
ENSG00000010404	IDS	1.0	0.00301136409028412	-0.2	0.563177906792942
ENSG00000010438	PRSS3	-1.2	0.238825579069887		
ENSG00000010539	ZNF200	-0.6	0.304201422648858	-0.5	0.256670015965688
ENSG00000010610	CD4	-1.0	0.205371748258415	-0.6	0.38935110007416
ENSG00000010626	LRRC23	-0.6	0.477770605517092	0.6	0.635803211282075
ENSG00000010671	BTK	-1.6	0.0293707053184118	-0.1	0.844650706948856
ENSG00000010704	HFE	0.5	0.511321717154662	0.2	0.79878394110579
ENSG00000010803	SCMH1	0.6	0.167780858938913	-0.6	0.422240514780189
ENSG00000010810	FYN	0.5	0.104201333709489	0.2	0.778232301672123
ENSG00000010818	HIVEP2	0.6	0.245473401659845	-0.2	0.638120179479527
ENSG00000010932	FMO1	0.1	0.917174960379192	-0.2	0.920662328243341
ENSG00000011007	ELOA	0.5	0.28011433134912	-0.1	0.804154405229888
ENSG00000011009	LYPLA2	-0.8	0.112142326078599	1.0	0.0139818194077615
ENSG00000011021	CLCN6	0.7	0.184005905569228		
ENSG00000011028	MRC2	-0.9	0.183442850833755	0.2	0.736866912000144
ENSG00000011083	SLC6A7	-1.5	0.111156484999078		
ENSG00000011105	TSPAN9	0.8	0.12619151561516	-0.4	0.333150870087546
ENSG00000011114	BTBD7	-0.1	0.555820436258642	-0.3	0.200211694602922
ENSG00000011132	APBA3	-0.9	0.0808667635801569	0.8	0.36297806975248
ENSG00000011143	MKS1	-1.4	0.0743909728551841	-1.7	0.011029279986693
ENSG00000011198	ABHD5	0.6	0.0224292581495182	-0.1	0.931141375409329
ENSG00000011201	ANOS1	-0.5	0.587085762012633	-2.6	5.68698392971192E-6
ENSG00000011243	AKAP8L	-0.7	0.336090990439779	-0.6	0.385654211195156
ENSG00000011258	MBTD1			-0.2	0.492224288612892
ENSG00000011260	UTP18	0.6	0.230878152321202	0.1	0.928435879829262
ENSG00000011275	RNF216	-0.5	0.155874248018426	-0.2	0.59521040291207
ENSG00000011295	TTC19	-0.5	0.250886826952185	-0.3	0.257930026745479
ENSG00000011304	PTBP1	-0.5	0.276574166673879	0.3	0.474598351320201
ENSG00000011332	DPF1	-0.5	0.638426394491401	-2.4	0.0117371073935012
ENSG00000011347	SYT7	-0.7	0.256919456897256	-1.3	0.177596917590241
ENSG00000011376	LARS2	-0.8	0.0614426450611553	-0.2	0.803971075428144
ENSG00000011405	PIK3C2A	1.1	8.39943387247044E-7	0.2	0.329670656960472
ENSG00000011422	PLAUR	-0.4	0.591390044002563	1.4	0.0091023935758578
ENSG00000011426	ANLN	-0.4	0.564728306787353	2.9	3.41932897023197E-6
ENSG00000011451	WIZ	-0.4	0.322339338288196	0.1	0.774562606273963
ENSG00000011454	RABGAP1	0.2	0.434095541643151	-0.2	0.398961626457996
ENSG00000011465	DCN	1.3	0.00491506998783097	0.2	0.676658995179656
ENSG00000011478	QPCTL	1.2	0.195387754352579	0.1	0.958385855989547
ENSG00000011485	PPP5C	-0.6	0.322339338288196	-0.4	0.548023332081195
ENSG00000011523	CEP68	0.2	0.598275029153168	-0.7	0.0893759068188204
ENSG00000011566	MAP4K3	0.5	0.0269142636202663		
ENSG00000011590	ZBTB32	-4.1	5.2317225213817E-5	-1.3	0.256368888327927
ENSG00000011600	TYROBP	-0.2	0.780322815319956		
ENSG00000011638	TMEM159	0.9	0.144688857551644	0.3	0.777755106627345
ENSG00000011677	GABRA3	-1.5	0.113989598726894		
ENSG00000012048	BRCA1	0.2	0.837882052513438	0.5	0.283957732631457
ENSG00000012061	ERCC1	0.1	0.941588797787707	-0.3	0.743747001586914
ENSG00000012124	CD22	-0.7	0.571819421687173	-2.5	3.45103917165801E-4
ENSG00000012171	SEMA3B	-1.4	0.0334542375512615	-2.0	2.87708567688753E-4
ENSG00000012174	MBTPS2	0.4	0.348079844847239	0.1	0.729584419243211
ENSG00000012211	PRICKLE3	-0.7	0.415068068464939	-0.5	0.736790374240158
ENSG00000012223	LTF	-1.8	0.107073074939089	3.2	1.36095928789062E-4
ENSG00000012232	EXTL3	0.6	0.406470725094198		
ENSG00000012504	NR1H4	0.3	0.830287113221092	-3.1	0.0102928038829227
ENSG00000012660	ELOVL5	1.7	5.86287212505543E-8	1.0	4.76267272845952E-6
ENSG00000012779	ALOX5	-1.6	0.079531531105183		
ENSG00000012817	KDM5D			0.1	0.964964001042729
ENSG00000012822	CALCOCO1	0.9	0.0579302759353109	-0.8	0.0748840002053572
ENSG00000012963	UBR7	0.3	0.459521303076274	0.5	0.354593692022848
ENSG00000012983	MAP4K5	0.6	0.00266587901259987	0.7	0.0598792303119551
ENSG00000013016	EHD3	-0.5	0.501604235451879	-0.7	0.403356376829874
ENSG00000013275	PSMC4	-0.1	0.837236683144446	0.3	0.707255795294861
ENSG00000013288	MAN2B2			-0.3	0.526702645498834
ENSG00000013293	SLC7A14	1.5	0.0322703448465946	-1.0	0.241375964997748
ENSG00000013297	CLDN11	1.0	0.211068197567489	0.4	0.677212399933094
ENSG00000013306	SLC25A39	-0.5	0.424909117625148	0.7	0.168514897484519
ENSG00000013364	MVP	-1.3	1.93075145461506E-6	0.2	0.66513139742823
ENSG00000013374	NUB1			0.2	0.755085682599546
ENSG00000013375	PGM3	0.1	0.807618740881236	0.3	0.206918485089453
ENSG00000013392	RWDD2A	-0.1	0.858054179889091	0.9	0.157104997905252
ENSG00000013441	CLK1	0.8	6.97947688416896E-4	0.8	0.00139567884034635
ENSG00000013503	POLR3B	-0.8	0.0345176293198231	0.2	0.774605977509799
ENSG00000013523	ANGEL1	-0.1	0.900722638241357	-0.6	0.134959473964256
ENSG00000013561	RNF14	0.5	0.0820061482821668	0.1	0.768741235785525
ENSG00000013563	DNASE1L1	-1.2	0.111156484999078	-0.5	0.624000765208719
ENSG00000013573	DDX11	-1.0	0.229654290780326	-0.9	0.303464465971948
ENSG00000013583	HEBP1	0.9	0.0557608769339101	-0.5	0.331312881385596
ENSG00000013588	GPRC5A	0.3	0.734160309057339	-1.7	2.52996649272268E-6
ENSG00000013619	MAMLD1	0.2	0.870513786261066	-0.9	0.153241361841107
ENSG00000013725	CD6	-1.9	0.0209741595301863	-0.9	0.331258154206393
ENSG00000013810	TACC3	-2.4	5.60956585827715E-4	0.3	0.736387011098709
ENSG00000014123	UFL1	0.9	0.00659566220347907	0.3	0.305732223709074
ENSG00000014138	POLA2	-1.5	0.00936130925020031	0.2	0.776024094639647
ENSG00000014164	ZC3H3	-0.4	0.569691994720894	-0.1	0.953069369395744
ENSG00000014216	CAPN1	-1.5	3.58266052708531E-4	0.9	0.159880137601443
