Gene ID	Gene Name_x	Colon_FoldChange	Colon_pValue	Gene Name_y	Lung_FoldChange	Lung_pValue
ENSG00000006194	ZNF263	0.1_0.879245525824216	0.879245525824216	ZNF263	-0.8_0.153847592753402	0.153847592753402
ENSG00000006210	CX3CL1	-0.4_0.502380597960038	0.502380597960038	CX3CL1	-0.2_0.681424029665328	0.681424029665328
ENSG00000006282	SPATA20	-1.3_0.0088695854728543	0.0088695854728543	SPATA20	-0.1_0.883241559171419	0.883241559171419
ENSG00000006283	CACNA1G	-2.3_0.0819343855320099	0.0819343855320099	CACNA1G	0.3_0.859107365696761	0.859107365696761
ENSG00000006327	TNFRSF12A	-0.8_0.487010429549882	0.487010429549882	TNFRSF12A	0.9_0.212963921086614	0.212963921086614
ENSG00000006377	DLX6	-1.7_0.167008270140042	0.167008270140042	DLX6	NA_NA	NA
ENSG00000006432	MAP3K9	-1.4_0.0631107456930552	0.0631107456930552	MAP3K9	-0.3_0.729689141143362	0.729689141143362
ENSG00000006451	RALA	0.5_0.350430311701256	0.350430311701256	RALA	0.1_0.921683874028126	0.921683874028126
ENSG00000006453	BAIAP2L1	0.1_0.949546668980094	0.949546668980094	BAIAP2L1	-0.3_0.506199631613907	0.506199631613907
ENSG00000006459	KDM7A	0.5_0.277703720432304	0.277703720432304	KDM7A	0.5_0.12858341283806	0.12858341283806
ENSG00000006468	ETV1	1.5_0.0012240377547679	0.0012240377547679	ETV1	-1.5_0.0255555970792197	0.0255555970792197
ENSG00000006530	AGK	-0.6_0.200026263496366	0.200026263496366	AGK	-0.3_0.445345204576297	0.445345204576297
ENSG00000006534	ALDH3B1	-0.8_0.189433174344536	0.189433174344536	ALDH3B1	-0.6_0.402565622881436	0.402565622881436
ENSG00000006555	TTC22	-1.9_0.0011901995609947	0.0011901995609947	TTC22	0.1_0.966424830799887	0.966424830799887
ENSG00000006576	PHTF2	-0.4_0.27941186507911	0.27941186507911	PHTF2	0.6_0.0536745958621407	0.0536745958621407
ENSG00000006606	CCL26	-1.9_0.127220314920056	0.127220314920056	CCL26	-1.1_0.486561924092177	0.486561924092177
ENSG00000006607	FARP2	NA_NA	NA	FARP2	-0.1_0.718911019978321	0.718911019978321
ENSG00000006611	USH1C	-1.7_0.0421906078546385	0.0421906078546385	USH1C	0.1_0.966607932811456	0.966607932811456
ENSG00000006625	GGCT	0.2_0.823660840793557	0.823660840793557	GGCT	1.0_0.0799277237528495	0.0799277237528495
ENSG00000006634	DBF4	-0.1_0.81144777488695	0.81144777488695	DBF4	0.8_0.0896473971185194	0.0896473971185194
ENSG00000006638	TBXA2R	-1.1_0.181651832652878	0.181651832652878	TBXA2R	-0.5_0.649353556170251	0.649353556170251
ENSG00000006652	IFRD1	0.5_0.215158523933991	0.215158523933991	IFRD1	0.5_0.321861736736973	0.321861736736973
ENSG00000006695	COX10	-0.3_0.569009672795103	0.569009672795103	COX10	0.2_0.829694542481123	0.829694542481123
ENSG00000006704	GTF2IRD1	0.8_0.249701711399919	0.249701711399919	GTF2IRD1	-0.2_0.813225511741197	0.813225511741197
ENSG00000006712	PAF1	-0.3_0.503603463887436	0.503603463887436	PAF1	-0.1_0.926564663892949	0.926564663892949
ENSG00000006715	VPS41	-0.2_0.668526623771136	0.668526623771136	VPS41	0.2_0.479693553363074	0.479693553363074
ENSG00000006740	ARHGAP44	-0.7_0.292025588131606	0.292025588131606	ARHGAP44	-1.2_0.0024204792013076	0.0024204792013076
ENSG00000006744	ELAC2	-0.4_0.167030963848317	0.167030963848317	ELAC2	0.1_0.933726230325497	0.933726230325497
ENSG00000006747	SCIN	-1.5_0.0265445195583711	0.0265445195583711	SCIN	-1.1_0.105787845141706	0.105787845141706
ENSG00000006756	ARSD	-1.1_0.0098290109390588	0.0098290109390588	ARSD	-0.8_0.100331915072339	0.100331915072339
ENSG00000006757	PNPLA4	-1.0_0.134973757808589	0.134973757808589	PNPLA4	-0.8_0.289103065035744	0.289103065035744
ENSG00000006788	MYH13	0.9_0.539242341124395	0.539242341124395	MYH13	NA_NA	NA
ENSG00000006831	ADIPOR2	0.7_0.0231426611672001	0.0231426611672001	ADIPOR2	0.7_0.0485261912973428	0.0485261912973428
ENSG00000006837	CDKL3	0.6_0.41101274748633	0.41101274748633	CDKL3	-0.1_0.912072546150177	0.912072546150177
ENSG00000007001	UPP2	-1.4_0.258090459658951	0.258090459658951	UPP2	-1.9_0.0390441152357952	0.0390441152357952
ENSG00000007038	PRSS21	0.2_0.915072319667406	0.915072319667406	PRSS21	-2.2_0.0552891277920089	0.0552891277920089
ENSG00000007047	MARK4	-0.1_0.879512488463069	0.879512488463069	MARK4	0.1_0.918675129632954	0.918675129632954
ENSG00000007062	PROM1	-1.4_0.0068732792887589	0.0068732792887589	PROM1	0.6_0.578942622316403	0.578942622316403
ENSG00000007080	CCDC124	0.2_0.855532596560573	0.855532596560573	CCDC124	0.1_0.925321795237079	0.925321795237079
ENSG00000007129	CEACAM21	-2.0_0.0269514457304265	0.0269514457304265	CEACAM21	-0.9_0.371878313247127	0.371878313247127
ENSG00000007168	PAFAH1B1	0.1_0.747782757136471	0.747782757136471	PAFAH1B1	-0.1_0.750040144436248	0.750040144436248
ENSG00000007171	NOS2	-1.6_0.117176010328345	0.117176010328345	NOS2	-0.6_0.701801063380285	0.701801063380285
ENSG00000007174	DNAH9	-0.1_0.956966878820375	0.956966878820375	DNAH9	-0.5_0.689532787179836	0.689532787179836
ENSG00000007202	KIAA0100	-0.1_0.782812868525154	0.782812868525154	KIAA0100	0.1_0.788350818110747	0.788350818110747
ENSG00000007216	SLC13A2	-3.7_5.77169302421927e-06	5.77169302421927e-06	SLC13A2	NA_NA	NA
ENSG00000007237	GAS7	0.6_0.254014395847382	0.254014395847382	GAS7	0.1_0.875914671151752	0.875914671151752
ENSG00000007255	TRAPPC6A	-2.0_0.0014722459108462	0.0014722459108462	TRAPPC6A	-2.0_0.0699674936685445	0.0699674936685445
ENSG00000007264	MATK	-3.4_0.000218442846248	0.000218442846248	MATK	-0.1_0.94668733010317	0.94668733010317
ENSG00000007306	CEACAM7	-1.4_0.277583064020191	0.277583064020191	CEACAM7	0.3_0.859401400738575	0.859401400738575
ENSG00000007312	CD79B	-1.6_0.147523683320445	0.147523683320445	CD79B	NA_NA	NA
ENSG00000007314	SCN4A	-3.8_0.0001064089983519	0.0001064089983519	SCN4A	NA_NA	NA
ENSG00000007341	ST7L	0.7_0.0357636525388711	0.0357636525388711	ST7L	0.2_0.673505591049701	0.673505591049701
ENSG00000007350	TKTL1	-0.2_0.91490069820287	0.91490069820287	TKTL1	0.1_0.966278615756118	0.966278615756118
ENSG00000007372	PAX6	-3.1_0.0003333705710073	0.0003333705710073	PAX6	0.2_0.920194722223337	0.920194722223337
ENSG00000007376	RPUSD1	-1.8_0.011847156472252	0.011847156472252	RPUSD1	1.3_0.175098535792455	0.175098535792455
ENSG00000007384	RHBDF1	0.1_0.912055267249595	0.912055267249595	RHBDF1	-0.4_0.603506983336255	0.603506983336255
ENSG00000007392	LUC7L	0.2_0.591927202564167	0.591927202564167	LUC7L	0.2_0.696183432286069	0.696183432286069
ENSG00000007402	CACNA2D2	-0.7_0.395941851167072	0.395941851167072	CACNA2D2	-3.3_2.18148147401875e-08	2.18148147401875e-08
ENSG00000007516	BAIAP3	-3.6_7.80178774121572e-05	7.80178774121572e-05	BAIAP3	-0.7_0.560254002087875	0.560254002087875
ENSG00000007520	TSR3	-1.8_0.0076844552144127	0.0076844552144127	TSR3	1.4_0.167644951374193	0.167644951374193
ENSG00000007541	PIGQ	-1.1_0.174986810815186	0.174986810815186	PIGQ	0.1_0.916616209627719	0.916616209627719
ENSG00000007545	CRAMP1	NA_NA	NA	CRAMP1	-0.7_0.3666508855155	0.3666508855155
ENSG00000007866	TEAD3	0.2_0.709369047025031	0.709369047025031	TEAD3	0.5_0.574799224750784	0.574799224750784
ENSG00000007908	SELE	-1.5_0.152003324586442	0.152003324586442	SELE	0.2_0.851813637534226	0.851813637534226
ENSG00000007923	DNAJC11	-0.6_0.120391235492367	0.120391235492367	DNAJC11	-0.1_0.887892056259647	0.887892056259647
ENSG00000007933	FMO3	0.3_0.771359469878252	0.771359469878252	FMO3	-1.2_0.0267643075213343	0.0267643075213343
ENSG00000007944	MYLIP	-0.8_0.232865241973134	0.232865241973134	MYLIP	-0.5_0.3460712778529	0.3460712778529
ENSG00000007952	NOX1	-1.5_0.0854794494666147	0.0854794494666147	NOX1	0.8_0.519004339767435	0.519004339767435
ENSG00000007968	E2F2	-0.8_0.418073339214508	0.418073339214508	E2F2	2.8_0.0248042938453593	0.0248042938453593
ENSG00000008018	PSMB1	NA_NA	NA	PSMB1	0.3_0.58692707148079	0.58692707148079
ENSG00000008056	SYN1	0.8_0.428493286687826	0.428493286687826	SYN1	2.0_0.0046787686912173	0.0046787686912173
ENSG00000008083	JARID2	-0.6_0.152029958335427	0.152029958335427	JARID2	0.2_0.825509449866953	0.825509449866953
ENSG00000008086	CDKL5	0.4_0.4147480031415	0.4147480031415	CDKL5	-0.6_0.0159694952731278	0.0159694952731278
ENSG00000008118	CAMK1G	-0.7_0.552780117481768	0.552780117481768	CAMK1G	-2.5_0.0173752738511193	0.0173752738511193
ENSG00000008128	CDK11A	-0.7_0.439537891048306	0.439537891048306	CDK11A	-1.5_0.10632041942892	0.10632041942892
ENSG00000008130	NADK	-0.3_0.749989764657728	0.749989764657728	NADK	0.2_0.710010689776598	0.710010689776598
ENSG00000008196	TFAP2B	-0.8_0.588983155071967	0.588983155071967	TFAP2B	NA_NA	NA
ENSG00000008226	DLEC1	-4.1_4.03190198277785e-08	4.03190198277785e-08	DLEC1	-0.1_0.943349788939823	0.943349788939823
ENSG00000008256	CYTH3	-0.7_0.193895827948007	0.193895827948007	CYTH3	-0.3_0.631620442690807	0.631620442690807
ENSG00000008277	ADAM22	-0.6_0.209570540237199	0.209570540237199	ADAM22	-0.4_0.585945726165622	0.585945726165622
ENSG00000008282	SYPL1	1.0_2.57428522377522e-06	2.57428522377522e-06	SYPL1	0.6_0.0303663470108272	0.0303663470108272
ENSG00000008283	CYB561	-2.5_7.84134111821707e-08	7.84134111821707e-08	CYB561	-1.2_0.0459121376113771	0.0459121376113771
ENSG00000008294	SPAG9	0.5_0.0330799907037865	0.0330799907037865	SPAG9	0.2_0.522706564452333	0.522706564452333
ENSG00000008300	CELSR3	-1.4_0.0357747393368903	0.0357747393368903	CELSR3	0.1_0.957699696944487	0.957699696944487
ENSG00000008311	AASS	1.4_0.0003415078026964	0.0003415078026964	AASS	-1.0_0.0153779577013237	0.0153779577013237
ENSG00000008323	PLEKHG6	-2.4_0.0001196274856931	0.0001196274856931	PLEKHG6	-3.9_4.50293596464681e-07	4.50293596464681e-07
ENSG00000008324	SS18L2	0.7_0.189366342831556	0.189366342831556	SS18L2	0.8_0.388760362863105	0.388760362863105
ENSG00000008382	MPND	-1.8_0.000613652201263	0.000613652201263	MPND	-0.2_0.843101994625625	0.843101994625625
ENSG00000008394	MGST1	0.5_0.408948081035042	0.408948081035042	MGST1	1.4_0.0025560482189839	0.0025560482189839
ENSG00000008405	CRY1	1.0_0.0095208090725916	0.0095208090725916	CRY1	-0.1_0.896172591156956	0.896172591156956
ENSG00000008438	PGLYRP1	NA_NA	NA	PGLYRP1	2.5_0.0215200834628937	0.0215200834628937
ENSG00000008441	NFIX	-0.2_0.72209365799098	0.72209365799098	NFIX	-0.6_0.0320177820429867	0.0320177820429867
ENSG00000008513	ST3GAL1	0.1_0.81144777488695	0.81144777488695	ST3GAL1	-0.4_0.237145735866927	0.237145735866927
ENSG00000008516	MMP25	-2.7_0.0004058605557181	0.0004058605557181	MMP25	1.6_0.132067960454037	0.132067960454037
ENSG00000008517	IL32	-1.0_0.132188009222776	0.132188009222776	IL32	0.4_0.588986904930994	0.588986904930994
ENSG00000008710	PKD1	-0.1_0.899321815561404	0.899321815561404	PKD1	-0.7_0.355727990346096	0.355727990346096
ENSG00000008735	MAPK8IP2	-0.5_0.619776389255377	0.619776389255377	MAPK8IP2	-1.0_0.527436905539798	0.527436905539798
ENSG00000008838	MED24	-0.5_0.27659332831274	0.27659332831274	MED24	-0.3_0.716925012254788	0.716925012254788
